Player;MP;ORB;AST;STL;BLK;TOV;PTS;FG%;3P%;FT%
Jay Huff;20;1;1;1;1;1;0;.000;.000;
Hot Rod Hundley;9553;;1455;;;;3625;.347;;.721
Lindsey Hunter;1616;18;129;66;19;55;473;.382;.380;.500
Joe Hutton;723;;115;;;;302;.331;;.690
D.J. Mbenga;732;56;23;19;69;36;230;.475;.000;.541
Darrall Imhoff;7930;;628;;;;2387;.470;;.599
Andre Ingram;79;2;7;4;3;4;24;.348;.417;1.000
Brandon Ingram;6014;158;550;123;110;394;2639;.458;.329;.662
McCoy Ingram;267;;20;;;;67;.262;;.464
Jim Jackson;92;0;4;2;0;5;22;.290;.364;
Tony Jackson;14;0;2;2;0;0;2;.333;;
Sam Jacobson;30;0;2;1;0;3;18;.571;.000;.500
Bronny James;143;3;16;5;3;10;58;.333;.300;.786
LeBron James;14743;413;3376;480;262;1505;11146;.513;.360;.729
Antawn Jamison;1636;109;50;30;22;53;712;.464;.361;.691
Tony Jaros;;;190;;;;824;.316;;.699
Trey Jemison;201;18;5;2;8;9;54;.625;;.400
Clay Johnson;512;48;31;25;7;32;169;.413;.000;.759
Magic Johnson;33245;1601;10141;1724;374;3506;17707;.520;.303;.848
Ron Johnson;43;;1;;;;6;.154;;.667
Stanley Johnson;1094;34;80;43;14;35;320;.466;.314;.716
Trey Johnson;13;0;0;0;0;0;6;.667;;1.000
Wesley Johnson;4485;137;248;145;122;177;1468;.420;.360;.799
Darius Johnson-Odom;6;1;1;0;0;0;0;.000;.000;
Howie Jolliff;1739;;112;;;;388;.367;;.527
Damian Jones;288;26;5;4;19;14;98;.667;.000;.813
Dwight Jones;491;28;22;13;9;35;156;.470;.000;.667
Earl Jones;7;0;0;0;0;1;0;.000;;
Eddie Jones;10797;319;951;644;214;510;4784;.463;.378;.769
Jemerrio Jones;158;18;13;8;5;5;31;.389;.200;.500
Jumaine Jones;1830;107;65;44;24;49;577;.432;.391;.733
Mason Jones;51;1;4;2;0;1;27;.467;.250;.800
DeAndre Jordan;408;51;13;10;26;21;132;.674;;.462
Eddie Jordan;1955;37;411;171;9;248;631;.404;.189;.702
Reggie Jordan;259;46;26;14;5;14;125;.427;.500;.686
Johnny Jorgensen;;;33;;;;106;.360;;.727
Whitey Kachan;;;12;;;;47;.381;;.682
Ed Kalafat;4358;;310;;;;1474;.345;;.688
Chris Kaman;736;54;58;11;40;74;404;.509;.000;.765
Jason Kapono;269;2;11;3;0;6;54;.382;.296;1.000
Coby Karl;71;3;9;4;2;5;30;.346;.308;.800
Ryan Kelly;3015;76;207;75;79;102;956;.381;.313;.796
Jerome Kersey;1766;112;89;119;49;74;476;.432;.262;.602
Randolph Keys;83;6;2;1;2;2;20;.346;.000;1.000
Earnie Killum;12;;0;;;;1;.000;;1.000
Frankie King;20;1;2;2;0;2;7;.273;.000;.333
Jim King;3932;;511;;;;1290;.417;;.757
Joe Kleine;30;2;0;0;0;0;6;.250;;1.000
Dalton Knecht;1456;35;66;24;6;35;679;.463;.375;.750
Travis Knight;2091;210;93;58;108;110;607;.484;.000;.643
Christian Koloko;322;32;16;7;11;12;86;.613;.000;.833
Jim Krebs;10661;;429;;;;4128;.405;;.755
Larry Krystkowiak;11;2;3;2;0;1;3;.500;;.500
Mitch Kupchak;2644;236;78;47;43;177;1113;.503;.000;.690
C.J. Kupec;963;80;58;21;4;;411;.427;;.759
Kyle Kuzma;8195;308;526;153;127;477;4206;.448;.338;.727
Bo Lamar;1165;30;177;59;3;;502;.406;;.676
Jeff Lamp;183;6;15;8;2;16;62;.391;.500;.857
Mark Landsberger;2950;440;85;47;22;159;970;.466;.000;.519
Stu Lantz;2283;109;234;71;13;;773;.422;;.849
Rudy LaRusso;18886;;1215;;;;8231;.434;;.757
Butch Lee;31;4;9;1;0;7;14;.308;;.857
Alex Len;109;13;7;1;2;6;18;.444;.500;.250
Slick Leonard;8289;;906;;;;2852;.340;;.746
Ronnie Lester;500;4;134;24;6;74;156;.448;.000;.720
Maxwell Lewis;132;4;8;3;1;12;15;.222;.111;.667
Jeremy Lin;1907;26;339;82;32;166;832;.424;.369;.795
Brook Lopez;1735;74;126;30;98;98;961;.465;.345;.703
Stan Love;1129;85;74;44;33;;504;.432;;.738
Clyde Lovellette;8626;;454;;;;4859;.430;;.707
Maurice Lucas;1750;164;84;45;24;121;785;.462;.500;.783
Tyronn Lue;802;9;87;27;0;47;253;.439;.379;.698
George Lynch;3727;377;209;200;47;200;1313;.479;.179;.645
Mike Lynn;403;;30;;;;119;.331;;.646
Scott Machado;19;0;3;1;0;0;10;.667;1.000;1.000
Ollie Mack;155;7;20;4;0;9;51;.420;.000;.500
Mark Madsen;2072;249;106;39;40;76;478;.450;.333;.638
Karl Malone;1373;61;163;50;20;103;554;.483;.000;.747
Nick Mantis;71;;9;;;;21;.256;;.500
Kendall Marshall;1564;15;477;48;4;150;430;.406;.399;.528
Slater Martin;13130;;2007;;;;4813;.376;;.761
Wes Matthews;1238;29;238;48;7;120;497;.467;.242;.822
Wesley Matthews;1130;20;54;38;17;26;279;.353;.335;.854
Skylar Mays;77;1;10;7;1;2;22;.476;.400;
Bob McAdoo;4475;282;212;122;179;341;2701;.494;.000;.759
Mel McCants;65;1;2;3;1;1;22;.308;;.750
Willie McCarter;2230;;219;;;;847;.403;;.650
